event_id,paper_id,annotation_unit,event_type,field_changes_json,evidence_basis,evidence_locator,rationale,codebook_version,annotator,recorded_at
PILOT-A-PDF-005,NeurIPS2024-2388,paper::main::inference,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""spiking_extent"":{""from"":""unknown"",""to"":""hybrid_subnetwork""},""event_to_spike_interface"":{""from"":""unknown"",""to"":""continuous_current""}}",verified_official_pdf,SS-E1;SS-E2;SS-E3;SS-E4;SS-E5;SS-E6,"The SNN truly triggers slice boundaries, but it receives voxel event cells rather than raw address events and remains a small front-end to an ANN task model; ANN neighborhood feedback is training-only.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-A-PDF-006,NeurIPS2025-0641,paper::main::inference,pdf_resolution,"{""scope"":{""from"":""unknown"",""to"":""core_intersection""},""intersection_directness"":{""from"":""unknown"",""to"":""method_coupled""},""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""unknown"",""to"":""embedded_module""},""spiking_extent"":{""from"":""unknown"",""to"":""hybrid_subnetwork""}}",verified_official_pdf,FL-E1;FL-E2;FL-E3;FL-E4;FL-E5;FL-E6;FL-E7,"The PDF confirms threshold/reset LIF output events and native timestamp updates, while the continuous EA-HiPPO/FFT state path and linear readout make the overall model hybrid; the interface-versus-embedded boundary remains queued for Astra.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-ABS-007,ICML2025-2762,paper::main::inference,abstract_initial,"{""scope"":""core_intersection"",""intersection_directness"":""method_coupled"",""spiking_computation"":""claimed"",""primary_functional_role"":""task_network"",""spiking_extent"":""unknown""}",official_title_abstract,https://proceedings.mlr.press/v267/xu25e.html,"The abstract presents HsVT as the event-detection task network but does not identify which spatial, temporal, attention and head operators are genuinely spiking.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-ABS-008,CVPR2025-2047,paper::main::inference,abstract_initial,"{""scope"":""core_intersection"",""intersection_directness"":""method_coupled"",""spiking_computation"":""claimed"",""primary_functional_role"":""embedded_module"",""spiking_extent"":""unknown""}",official_title_abstract,https://openaccess.thecvf.com/content/CVPR2025/html/Ahmed_Efficient_Event-Based_Object_Detection_A_Hybrid_Neural_Network_with_Spatial_CVPR_2025_paper.html,The abstract explicitly places sparse SNN blocks and a bridge inside an ANN backbone; PDF evidence is needed to determine the SNN block boundary and whether hardware results cover the full detector.,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-ABS-009,ICCV2025-1790,paper::main::inference,abstract_initial,"{""scope"":""core_intersection"",""intersection_directness"":""method_coupled"",""spiking_computation"":""claimed"",""primary_functional_role"":""embedded_module"",""spiking_extent"":""unknown""}",official_title_abstract,https://openaccess.thecvf.com/content/ICCV2025/html/Lin_ClearSight_Human_Vision-Inspired_Solutions_for_Event-Based_Motion_Deblurring_ICCV_2025_paper.html,"The abstract assigns motion-feature extraction to an SNN branch and color processing to an ANN, suggesting an embedded SNN module whose neuron configuration and fusion boundary require PDF inspection.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-ABS-010,NeurIPS2025-4041,paper::main::inference,abstract_initial,"{""scope"":""core_intersection"",""intersection_directness"":""method_coupled"",""spiking_computation"":""claimed"",""primary_functional_role"":""task_network"",""spiking_extent"":""unknown""}",official_title_abstract,https://papers.nips.cc/paper_files/paper/2025/hash/af752cfbdcc6fd3e4cd0eea9f1ad0fab-Abstract-Conference.html,"The abstract claims a fully spiking frame-event tracking network with convolutional and Transformer components; modality encoders, attention, fusion, head and readout must be checked before assigning an extent.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-ABS-011,CVPR2026-1935,paper::main::inference,abstract_initial,"{""scope"":""snn_foundation"",""intersection_directness"":""single_axis"",""spiking_computation"":""claimed"",""primary_functional_role"":""task_network"",""spiking_extent"":""unknown""}",official_title_abstract,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_SpikeTrack_A_Spike-driven_Framework_for_Efficient_Visual_Tracking_CVPR_2026_paper.html,"The complete abstract explicitly limits the method to RGB tracking, making it an SNN task-network foundation/identity contrast rather than an event-camera intersection paper unless the PDF contradicts that input scope.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-ABS-012,CVPR2026-1798,paper::main::inference,abstract_initial,"{""scope"":""core_intersection"",""intersection_directness"":""method_coupled"",""spiking_computation"":""claimed"",""primary_functional_role"":""task_network"",""spiking_extent"":""unknown""}",official_title_abstract,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_SpikeTrack_High-performance_and_Energy-efficient_Event-Based_Object_Tracking_with_Spiking_Neural_CVPR_2026_paper.html,The abstract makes the event-tracking SNN the principal inference path and distinguishes integer-valued training activations from spike inference; PDF inspection must verify the mapping and full task boundary.,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-ABS-013,NeurIPS2024-1436,paper::main::inference,abstract_initial,"{""scope"":""core_intersection"",""intersection_directness"":""method_coupled"",""spiking_computation"":""claimed"",""primary_functional_role"":""algorithmic_engine"",""spiking_extent"":""unknown""}",official_title_abstract,https://papers.nips.cc/paper_files/paper/2024/hash/4fe1859112230a032c7143a9adc3be78-Abstract-Conference.html,"The abstract explicitly maps WTA circuits and STDP to EM E- and M-steps, making algorithmic_engine the initial hypothesis while continuous warping/readout boundaries remain unresolved.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-ABS-014,ICLR2024-0249,paper::main::training_analysis,abstract_initial,"{""scope"":""core_intersection"",""intersection_directness"":""event_specific_training_analysis"",""spiking_computation"":""claimed"",""primary_functional_role"":""not_applicable"",""spiking_extent"":""not_applicable""}",official_title_abstract,https://proceedings.iclr.cc/paper_files/paper/2024/hash/19dbb86f771ddbf9986cf0c9b1c61c17-Abstract-Conference.html,"The contribution is SNN-specific relevance propagation and event augmentation rather than a new inference topology, so it is initially placed cross-cutting with no new primary inference role.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-ABS-015,ECCV2024-1740,paper::main::training_analysis,abstract_initial,"{""scope"":""core_intersection"",""intersection_directness"":""event_specific_training_analysis"",""spiking_computation"":""claimed"",""primary_functional_role"":""not_applicable"",""spiking_extent"":""not_applicable""}",official_title_abstract,https://eccv.ecva.net/virtual/2024/poster/1447,"The contribution attacks raw event data under sparsity constraints and evaluates existing SNN victims; it is an event-specific robustness/analysis paper, not a new inference-role representative.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-PDF-007,ICML2025-2762,paper::main::inference,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""task_network"",""to"":""task_network""},""spiking_extent"":{""from"":""unknown"",""to"":""hybrid_subnetwork""}}",verified_official_pdf,HV-E1;HV-E2;HV-E3,"Fixed-duration event sequences enter a four-stage hybrid detector whose main task path interleaves MaxViT, SpikingMLP, LSTM and an STFE module. This is a task_network rather than an embedded_module because the SNN components recur throughout the proposed backbone, although the backbone is not fully spiking.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-PDF-008,CVPR2025-2047,paper::main::inference,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""embedded_module"",""to"":""embedded_module""},""spiking_extent"":{""from"":""unknown"",""to"":""hybrid_subnetwork""}}",verified_official_pdf,AH-E1;AH-E2;AH-E3,"A four-layer PLIF SNN extracts fast low-level features and hands them through ASAB to a larger continuous ANN detector. The SNN is therefore an embedded_module rather than the task_network, while the proposed system-level contribution is the complete hybrid backbone.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-PDF-009,ICCV2025-1790,paper::main::inference,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""embedded_module"",""to"":""embedded_module""},""spiking_extent"":{""from"":""unknown"",""to"":""hybrid_subnetwork""}}",verified_official_pdf,CS-E1;CS-E2;CS-E3,"The SNN is the event-specific motion-feature branch inside a dual-drive ANN/SNN deblurring model. It is embedded_module rather than task_network because continuous image encoding, cross-modal fusion and the MIMO reconstruction decoder remain essential task components.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-PDF-010,NeurIPS2025-4041,paper::main::inference,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""task_network"",""to"":""task_network""},""spiking_extent"":{""from"":""unknown"",""to"":""fully_spiking_backbone""}}",verified_official_pdf,SF-E1;SF-E2;SF-E3,"Both modality-specific feature extraction, spike self-attention fusion and decoupled tracking heads are designed in the spiking paradigm. The SNN therefore supplies the principal task network; the final continuous prediction convolutions prevent a stronger sensor-to-result purity claim.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-PDF-011,CVPR2026-1935,paper::main::inference,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""task_network"",""to"":""task_network""},""spiking_extent"":{""from"":""unknown"",""to"":""fully_spiking_backbone""}}",verified_official_pdf,RG-E1;RG-E2;RG-E3,RGB template/search images drive an NI-LIF spiking Siamese tracker with a memory-retrieval module and spike-driven head. It is a genuine SNN task_network but not an event-camera intersection paper; its value is as a controlled architecture comparator to the separate event-based paper with the same short name.,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-PDF-012,CVPR2026-1798,paper::main::inference,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""task_network"",""to"":""task_network""},""spiking_extent"":{""from"":""unknown"",""to"":""fully_spiking_backbone""}}",verified_official_pdf,ET-E1;ET-E2;ET-E3,"I-LIF convolutional blocks, DI-LIF spiking transformers and an I-LIF tracking head constitute the event tracker’s principal task path. The role is task_network; event voxelization is fixed preprocessing rather than a learned event_interface.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-PDF-013,NeurIPS2024-1436,paper::main::inference,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""algorithmic_engine"",""to"":""algorithmic_engine""},""spiking_extent"":{""from"":""unknown"",""to"":""hybrid_subnetwork""}}",verified_official_pdf,BC-E1;BC-E2;BC-E3,"Warped address events charge stochastic IF neurons in a WTA circuit, whose firing implements EM responsibilities while STDP updates motion parameters. This is algorithmic_engine rather than task_network because spike variables are explicitly identified with E/M-step quantities and the central contribution is that algorithmic equivalence.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-PDF-014,ICLR2024-0249,paper::main::training_analysis,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""not_applicable"",""to"":""not_applicable""},""spiking_extent"":{""from"":""not_applicable"",""to"":""not_applicable""}}",verified_official_pdf,ER-E1;ER-E2;ER-E3,"EventRPG changes training-time relevance propagation and augmentation around existing SNN classifiers; it does not add a new inference SNN topology. Primary role is therefore not_applicable rather than task_network, and the paper belongs on the cross-cutting training/analysis axis.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-B-PDF-015,ECCV2024-1740,paper::main::training_analysis,pdf_resolution,"{""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""not_applicable"",""to"":""not_applicable""},""spiking_extent"":{""from"":""not_applicable"",""to"":""not_applicable""}}",verified_official_pdf,RA-E1;RA-E2;RA-E3,"The proposed component is a white-box optimizer that perturbs raw event coordinates/polarities before an existing SNN classifier. It creates no new inference SNN function, so primary role is not_applicable and the paper belongs to cross-cutting robustness rather than task_network.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-ABS-016,ICML2024-0803,paper::main::inference,abstract_initial,"{""scope"":""snn_foundation"",""intersection_directness"":""benchmark_only"",""spiking_computation"":""claimed"",""primary_functional_role"":""task_network"",""spiking_extent"":""unknown""}",official_title_abstract,https://proceedings.mlr.press/v235/huang24n.html,The abstract proposes a generally applicable binary-output neuron and temporal-gradient path; any event-camera relevance appears to be evaluation rather than an event-specific interface.,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-ABS-017,CVPR2025-0053,paper::main::conversion,abstract_initial,"{""scope"":""snn_foundation"",""intersection_directness"":""single_axis"",""spiking_computation"":""claimed"",""primary_functional_role"":""not_applicable"",""spiking_extent"":""unknown""}",official_title_abstract,https://openaccess.thecvf.com/content/CVPR2025/html/Bu_Inference-Scale_Complexity_in_ANN-SNN_Conversion_for_High-Performance_and_Low-Power_Applications_CVPR_2025_paper.html,"The contribution is a generic ANN-to-SNN conversion/calibration route, not a new event-specific inference role; task models and conversion boundaries require PDF confirmation.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-ABS-018,NeurIPS2025-5334,paper::main::evaluation,abstract_initial,"{""scope"":""snn_foundation"",""intersection_directness"":""benchmark_only"",""spiking_computation"":""claimed"",""primary_functional_role"":""not_applicable"",""spiking_extent"":""not_applicable""}",official_title_abstract,https://papers.nips.cc/paper_files/paper/2025/hash/e9fece10c0f4ffdcf015ab676f370fbd-Abstract-Datasets_and_Benchmarks_Track.html,"STEP evaluates existing Spiking Transformers across static, event and sequential datasets; it is initially treated as an evaluation authority rather than core role evidence.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-ABS-019,CVPR2025-1552,paper::main::inference,abstract_initial,"{""scope"":""event_camera_foundation"",""intersection_directness"":""single_axis"",""spiking_computation"":""unknown"",""primary_functional_role"":""not_applicable"",""spiking_extent"":""unknown""}",official_title_abstract,https://openaccess.thecvf.com/content/CVPR2025/html/Dampfhoffer_Graph_Neural_Network_Combining_Event_Stream_and_Periodic_Aggregation_for_CVPR_2025_paper.html,"The abstract describes asynchronous sparse graph computation and hardware projections but no neuronal state, firing or reset; PDF must distinguish event-driven GNN from SNN.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-ABS-020,CVPR2024-1880,paper::main::inference,abstract_initial,"{""scope"":""event_camera_foundation"",""intersection_directness"":""single_axis"",""spiking_computation"":""unknown"",""primary_functional_role"":""not_applicable"",""spiking_extent"":""unknown""}",official_title_abstract,https://openaccess.thecvf.com/content/CVPR2024/html/Ren_A_Simple_and_Effective_Point-based_Network_for_Event_Camera_6-DOFs_CVPR_2024_paper.html,"PEPNet is initially an event-camera point-network comparator: raw event point clouds and an A-Bi-LSTM are explicit, while no SNN mechanism is claimed.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-ABS-021,ECCV2024-1737,paper::main::inference,abstract_initial,"{""scope"":""core_intersection"",""intersection_directness"":""method_coupled"",""spiking_computation"":""claimed"",""primary_functional_role"":""embedded_module"",""spiking_extent"":""unknown""}",official_title_abstract,https://eccv.ecva.net/virtual/2024/poster/2118,REDIR explicitly inserts an attention-enhanced SNN block into a pure-event reconstruction system; embedded_module is the initial hypothesis pending registration/decoder boundary checks.,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-ABS-022,ECCV2024-0096,paper::main::inference,abstract_initial,"{""scope"":""snn_foundation"",""intersection_directness"":""benchmark_only"",""spiking_computation"":""claimed"",""primary_functional_role"":""task_network"",""spiking_extent"":""unknown""}",official_title_abstract,https://eccv.ecva.net/virtual/2024/poster/1172,"Despite the event-based-vision title, the abstract presents ABN as a generic homeostatic neuron; PDF must establish whether event input changes the method or only benchmarks it.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-ABS-023,ECCV2024-0945,paper::main::inference,abstract_initial,"{""scope"":""event_camera_foundation"",""intersection_directness"":""single_axis"",""spiking_computation"":""unknown"",""primary_functional_role"":""not_applicable"",""spiking_extent"":""unknown""}",official_title_abstract,https://eccv.ecva.net/virtual/2024/poster/1742,"FARSE-CNN is asynchronous, recurrent and sparse, but the abstract does not claim spiking neurons; it is treated as an event-only comparator until the recurrence equations are checked.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-PDF-016,ICML2024-0803,paper::main::inference,pdf_resolution,"{""scope"":{""from"":""snn_foundation"",""to"":""snn_foundation""},""intersection_directness"":{""from"":""benchmark_only"",""to"":""benchmark_only""},""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""task_network"",""to"":""task_network""},""spiking_extent"":{""from"":""unknown"",""to"":""fully_spiking_task_network""}}",verified_official_pdf,CL-E1;CL-E2;CL-E3,"CLIF replaces standard neurons throughout directly trained VGG/ResNet SNN classifiers, so the evaluated SNN is a task_network; event-camera datasets only benchmark a generic neuron contribution and do not make it an event-specific interface or module.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-PDF-017,CVPR2025-0053,paper::main::training_analysis,pdf_resolution,"{""scope"":{""from"":""snn_foundation"",""to"":""snn_foundation""},""intersection_directness"":{""from"":""single_axis"",""to"":""single_axis""},""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""not_applicable"",""to"":""not_applicable""},""spiking_extent"":{""from"":""unknown"",""to"":""not_applicable""}}",verified_official_pdf,CV-E1;CV-E2;CV-E3,"The contribution is a post-training ANN-to-SNN conversion and calibration procedure spanning several pre-existing task architectures. Conversion is a training route, not a distinct inference role, so primary role is not_applicable.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-PDF-018,NeurIPS2025-5334,paper::main::benchmark,pdf_resolution,"{""scope"":{""from"":""snn_foundation"",""to"":""snn_foundation""},""intersection_directness"":{""from"":""benchmark_only"",""to"":""benchmark_only""},""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""not_applicable"",""to"":""not_applicable""},""spiking_extent"":{""from"":""not_applicable"",""to"":""not_applicable""}}",verified_official_pdf,ST-E1;ST-E2;ST-E3,STEP standardizes and analyzes existing Spiking Transformer implementations rather than adding an inference SNN component. Its taxonomy role is therefore not_applicable and its value lies in evaluation authority.,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-PDF-019,CVPR2025-1552,paper::main::inference,pdf_resolution,"{""scope"":{""from"":""event_camera_foundation"",""to"":""event_camera_foundation""},""intersection_directness"":{""from"":""single_axis"",""to"":""single_axis""},""spiking_computation"":{""from"":""unknown"",""to"":""absent""},""primary_functional_role"":{""from"":""not_applicable"",""to"":""not_applicable""},""spiking_extent"":{""from"":""unknown"",""to"":""non_spiking""}}",verified_official_pdf,GN-E1;GN-E2;GN-E3,Directed event graphs feed continuous GNN and recurrent/convolutional periodic branches; no neuron firing or reset participates in computation. It has no SNN inference role and is retained only as an asynchronous event-method comparator.,0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-PDF-020,CVPR2024-1880,paper::main::inference,pdf_resolution,"{""scope"":{""from"":""event_camera_foundation"",""to"":""event_camera_foundation""},""intersection_directness"":{""from"":""single_axis"",""to"":""single_axis""},""spiking_computation"":{""from"":""unknown"",""to"":""absent""},""primary_functional_role"":{""from"":""not_applicable"",""to"":""not_applicable""},""spiking_extent"":{""from"":""unknown"",""to"":""non_spiking""}}",verified_official_pdf,PE-E1;PE-E2;PE-E3,"Normalized x-y-time event points are processed by a hierarchical point network, attentive bidirectional LSTM and continuous pose regressor. The method is non-spiking, so it has no SNN functional role.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-PDF-021,ECCV2024-1737,paper::main::inference,pdf_resolution,"{""scope"":{""from"":""core_intersection"",""to"":""core_intersection""},""intersection_directness"":{""from"":""method_coupled"",""to"":""method_coupled""},""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""embedded_module"",""to"":""embedded_module""},""spiking_extent"":{""from"":""unknown"",""to"":""hybrid_subnetwork""}}",verified_official_pdf,RD-E1;RD-E2;RD-E3,"A three-layer TSA-LIF block filters persistent target events and occlusion noise inside a larger UNet/STN registration and CNN reconstruction system. It is an embedded_module rather than task_network because continuous registration, mask fusion and decoding remain indispensable.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-PDF-022,ECCV2024-0096,paper::main::inference,pdf_resolution,"{""scope"":{""from"":""snn_foundation"",""to"":""core_intersection""},""intersection_directness"":{""from"":""benchmark_only"",""to"":""method_coupled""},""spiking_computation"":{""from"":""claimed"",""to"":""confirmed""},""primary_functional_role"":{""from"":""task_network"",""to"":""task_network""},""spiking_extent"":{""from"":""unknown"",""to"":""fully_spiking_task_network""}}",verified_official_pdf,AB-E1;AB-E2;AB-E3,"Each camera event is injected as a spike into an SNN whose LIF/SRM neurons use ABN dynamic thresholds for classification and event-wise segmentation. The SNN is the principal task path, so this is task_network rather than a separate event interface.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
PILOT-C-PDF-023,ECCV2024-0945,paper::main::inference,pdf_resolution,"{""scope"":{""from"":""event_camera_foundation"",""to"":""event_camera_foundation""},""intersection_directness"":{""from"":""single_axis"",""to"":""single_axis""},""spiking_computation"":{""from"":""unknown"",""to"":""absent""},""primary_functional_role"":{""from"":""not_applicable"",""to"":""not_applicable""},""spiking_extent"":{""from"":""unknown"",""to"":""non_spiking""}}",verified_official_pdf,FA-E1;FA-E2;FA-E3,"Raw events update sparse convolutional LSTM cells and propagate continuous feature events through FARSE-CNN. Despite being asynchronous and stateful, it has no neuronal threshold, firing or reset, so no SNN role applies.",0.1-design,GPT-5.6 Sol High / 2026-09-10,2026-09-10
